gene_symbol,module,P2A1,P2A2,P2A3,F1A3,F1A4,F351,F352,F451,F452,F453
FANCI,Fork protection / FA,-0.8130224274835622,-0.11152588542402585,2.1652736453721544,-1.2946629107647676,-1.2084699365698983,0.20018168369987643,0.542988134027731,-0.05189833205872043,0.2644200730635267,0.3067159561377881
FANCM,Fork protection / FA,-0.22417596488428218,-0.1211213224493271,1.828405382755201,0.41730180886018486,-0.49402559142536795,0.6265059182143444,-0.17595929289315182,0.18712416003712617,0.12388671946066893,-2.1679418176753695
SMARCAL1,Fork protection / FA,-1.1251278121197579,-0.7086284541466531,-0.46024354995442357,-1.3473931412076892,-0.7883373863087635,0.5814039829134079,0.38554873068716217,1.0807863136365101,0.9771661739631932,1.4048251425370017
ZRANB3,Fork protection / FA,-0.7486329155506196,0.2561641405604143,2.5926785548078994,-0.18552983423760605,-0.5352885365472387,-0.3532524215675605,0.3373629518094982,-0.7628746518363823,0.10591051072875374,-0.7065377981672023
HLTF,Fork protection / FA,0.8312452806198074,0.644037783862881,1.6932035630475895,0.21914144917726974,-1.7083767216348593,0.30691532086977125,-0.3091506715907826,0.21964721498853396,-0.8386671716446212,-1.0579960476956505
WRN,Fork protection / FA,-0.3392004567421328,-0.45393136870626016,1.7552405166961758,-1.033338855406745,-1.8638350780060429,0.4480004023043879,0.8357120703556643,0.21230129097827743,0.3083394193670137,0.13071205915959455
RECQL,Fork protection / FA,0.007951375539736369,-0.121939168958456,2.164337217927487,-0.9966697074832006,-1.4607603184440374,-0.5299843524801678,0.8283463619023355,0.2565333708456568,-0.328628535099747,0.18081375625039967
PARP1,Fork protection / FA,-0.686327819247092,0.07949738411516717,2.0477707736984905,-1.292355442122323,-1.2542868841067485,-0.5649763629350769,0.47235257827337934,0.47839932826523796,0.1933457502296937,0.5265806938294374
MRE11A,End resection,-0.9016632799445037,-0.027010490988037306,1.740209858445923,-1.4931703278921662,-1.3052109948380402,0.9799601782729882,0.3326591722643136,0.2638099685688713,0.20301081297439855,0.20740510313630475
RAD50,End resection,-0.13042290271526588,0.04675767540223765,1.6785925167706923,-0.9680905255131592,-2.1091669709411036,0.6826653970817421,0.12277188590240815,0.5181801130607756,0.1663497497325808,-0.007636938780915831
NBN,End resection,-0.7372880390257797,-0.3681362526702779,1.7232743314777375,-1.3771860246702907,-1.3357090200631423,0.8974817689930713,0.8838856683230597,0.17832241893578762,0.2138981253122256,-0.0785429766123911
RBBP8,End resection,-1.2033571567626808,-0.9970902565717356,0.5364130486488529,-1.1443131591754174,-1.0902290714461984,0.6434984722544933,1.4842387710327145,0.7800980473379959,0.6620431413366495,0.3286981633451943
EXO1,End resection,-0.33821824867907085,0.18412782807822184,2.3833323899550924,-0.20467379786069703,-0.8146672145262054,0.13327443949199957,0.7528126591336844,-1.1819280654438233,-0.2744618111392453,-0.6395981790097202
DNA2,End resection,-0.5557260354440393,-0.5643382666220839,1.9955837293452414,-0.44208082480781496,-1.7256000772286255,0.7016784600650168,0.5778561378163624,0.5100842690045745,-0.1894955802206414,-0.3079618119079519
DHX9,R-loop processing,-0.028562874125551287,0.5616526726685368,2.059811846345778,-0.8492466930145778,-1.8824363952427212,0.17005288860262335,0.015929246020415237,0.23146045784408242,-0.3044777514464897,0.02581660234790376
RNASEH1,R-loop processing,0.5176903359602876,0.16448588037641013,1.1774887401508431,0.5977640452875101,1.2155303823087795,-1.5309439637046827,0.3966326051935633,-1.5773853952573507,-0.6078338367050221,-0.35342879361013113
RNASEH2A,R-loop processing,0.9901579997417432,0.41669242851970134,-0.17865260644781916,1.2584668719707672,1.3761943583039016,-0.8017911856455656,-0.3895990438844682,-1.7336304875270458,-0.6885625866190273,-0.249275748412169
